Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
ITA,2001-07-01,2001-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2001,2001,,75.200530,X,base year is 2015
ITA,2002-07-01,2002-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2002,2002,,77.406420,X,base year is 2015
ITA,2003-07-01,2003-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2003,2003,,79.946530,X,base year is 2015
ITA,2004-07-01,2004-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2004,2004,,81.818180,X,base year is 2015
ITA,2005-07-01,2005-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2005,2005,,81.617650,X,base year is 2015
ITA,2006-07-01,2006-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2006,2006,,83.088230,X,base year is 2015
ITA,2007-07-01,2007-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2007,2007,,85.093580,X,base year is 2015
ITA,2008-07-01,2008-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2008,2008,,90.441180,X,base year is 2015
ITA,2009-07-01,2009-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2009,2009,,91.778080,X,base year is 2015
ITA,2010-07-01,2010-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2010,2010,,91.711230,X,base year is 2015
